date,season,home_team,away_team,home_points,away_points,total_points,point_diff,winner,neutral_site,postseason
2002-08-22,2002,Virginia,Colorado State,29,35,64,-6,Colorado State,False,False
2002-08-23,2002,Wisconsin,Fresno State,23,21,44,2,Wisconsin,False,False
2002-08-24,2002,Ohio State,Texas Tech,45,21,66,24,Ohio State,False,False
2002-08-24,2002,NC State,New Mexico,34,14,48,20,NC State,False,False
2002-08-24,2002,Nebraska,Arizona State,48,10,58,38,Nebraska,False,False
2002-08-24,2002,Iowa State,Florida State,31,38,69,-7,Florida State,False,False
2002-08-25,2002,Virginia Tech,Arkansas State,63,7,70,56,Virginia Tech,False,False
2002-08-29,2002,Toledo,Cal Poly SLO,44,16,60,28,Toledo,False,False
2002-08-29,2002,Kent State,New Hampshire,34,7,41,27,Kent State,False,False
2002-08-29,2002,Temple,Richmond,34,7,41,27,Temple,False,False
2002-08-29,2002,USF,Florida Atlantic,51,10,61,41,USF,False,False
2002-08-29,2002,Bowling Green,Tennessee Tech,41,7,48,34,Bowling Green,False,False
2002-08-29,2002,BYU,Syracuse,42,21,63,21,BYU,False,False
2002-08-29,2002,Buffalo,Lehigh,26,37,63,-11,Lehigh,False,False
2002-08-29,2002,Central Michigan,Sam Houston State,34,10,44,24,Central Michigan,False,False
2002-08-29,2002,Western Michigan,Indiana State,48,17,65,31,Western Michigan,False,False
2002-08-29,2002,Northern Illinois,Wake Forest,42,41,83,1,Northern Illinois,False,False
2002-08-29,2002,Oregon State,Eastern Kentucky,49,10,59,39,Oregon State,False,False
2002-08-29,2002,Fresno State,San Diego State,16,14,30,2,Fresno State,False,False
2002-08-30,2002,Tulsa,Oklahoma,0,37,37,-37,Oklahoma,False,False
2002-08-31,2002,Air Force,Northwestern,52,3,55,49,Air Force,False,False
2002-08-31,2002,Boston College,Connecticut,24,16,40,8,Boston College,False,False
2002-08-31,2002,Michigan,Washington,31,29,60,2,Michigan,False,False
2002-08-31,2002,Iowa,Akron,57,21,78,36,Iowa,False,False
2002-08-31,2002,Penn State,UCF,27,24,51,3,Penn State,False,False
2002-08-31,2002,Iowa State,Kansas,45,3,48,42,Iowa State,False,False
2002-08-31,2002,Alabama,Middle Tennessee,39,34,73,5,Alabama,False,False
2002-08-31,2002,Colorado,Colorado State,14,19,33,-5,Colorado State,False,False
2002-08-31,2002,North Carolina,Miami (OH),21,27,48,-6,Miami (OH),False,False
2002-08-31,2002,Purdue,Illinois State,51,10,61,41,Purdue,False,False
2002-08-31,2002,Washington State,Nevada,31,7,38,24,Washington State,False,False
2002-08-31,2002,California,Baylor,70,22,92,48,California,False,False
2002-08-31,2002,Michigan State,Eastern Michigan,56,7,63,49,Michigan State,False,False
2002-08-31,2002,Tulane,Southern,37,19,56,18,Tulane,False,False
2002-08-31,2002,Florida State,Virginia,40,19,59,21,Florida State,False,False
2002-08-31,2002,Illinois,Missouri,20,33,53,-13,Missouri,False,False
2002-08-31,2002,Indiana,William & Mary,25,17,42,8,Indiana,False,False
2002-08-31,2002,Tennessee,Wyoming,47,7,54,40,Tennessee,False,False
2002-08-31,2002,Georgia Tech,Vanderbilt,45,3,48,42,Georgia Tech,False,False
2002-08-31,2002,West Virginia,Chattanooga,56,7,63,49,West Virginia,False,False
2002-08-31,2002,Duke,East Carolina,23,16,39,7,Duke,False,False
2002-08-31,2002,Oregon,Mississippi State,36,13,49,23,Oregon,False,False
2002-08-31,2002,Florida,UAB,51,3,54,48,Florida,False,False
2002-08-31,2002,Texas A&M,UL-Lafayette,31,7,38,24,Texas A&M,False,False
2002-08-31,2002,Southern Miss,Jackson State,55,7,62,48,Southern Miss,False,False
2002-08-31,2002,Pittsburgh,Ohio,27,14,41,13,Pittsburgh,False,False
2002-08-31,2002,Rutgers,Villanova,19,37,56,-18,Villanova,False,False
2002-08-31,2002,Ole Miss,UL-Monroe,31,3,34,28,Ole Miss,False,False
2002-08-31,2002,Minnesota,Texas State,42,0,42,42,Minnesota,False,False
2002-08-31,2002,Miami (FL),Florida A&M,63,17,80,46,Miami (FL),False,False
2002-08-31,2002,Arkansas State,San Jose State,14,33,47,-19,San Jose State,False,False
2002-08-31,2002,NC State,East Tennessee State,34,0,34,34,NC State,False,False
2002-08-31,2002,Nebraska,Troy,31,16,47,15,Nebraska,False,False
2002-08-31,2002,Marshall,Appalachian State,50,17,67,33,Marshall,False,False
2002-08-31,2002,South Carolina,New Mexico State,34,24,58,10,South Carolina,False,False
2002-08-31,2002,Kansas State,Western Kentucky,48,3,51,45,Kansas State,False,False
2002-08-31,2002,Georgia,Clemson,31,28,59,3,Georgia,False,False
2002-08-31,2002,SMU,Navy,7,38,45,-31,Navy,False,False
2002-08-31,2002,Louisiana Tech,Oklahoma State,39,36,75,3,Louisiana Tech,False,False
2002-08-31,2002,Texas,North Texas,27,0,27,27,Texas,False,False
2002-08-31,2002,Rice,Houston,10,24,34,-14,Houston,False,False
2002-08-31,2002,Maryland,Notre Dame,0,22,22,-22,Notre Dame,False,False
2002-08-31,2002,Memphis,Murray State,52,6,58,46,Memphis,False,False
2002-08-31,2002,Boise State,Idaho,38,21,59,17,Boise State,False,False
2002-08-31,2002,New Mexico,Weber State,38,24,62,14,New Mexico,False,False
2002-08-31,2002,UNLV,Wisconsin,7,27,34,-20,Wisconsin,False,False
2002-08-31,2002,Utah State,Utah,3,23,26,-20,Utah,False,False
2002-08-31,2002,UTEP,Sacramento State,42,12,54,30,UTEP,False,False
2002-08-31,2002,Arizona State,Eastern Washington,38,2,40,36,Arizona State,False,False
2002-08-31,2002,Arizona,Northern Arizona,37,3,40,34,Arizona,False,False
2002-08-31,2002,Hawaii,Eastern Illinois,61,36,97,25,Hawaii,False,False
2002-09-01,2002,Virginia Tech,LSU,26,8,34,18,Virginia Tech,False,False
2002-09-01,2002,Louisville,Kentucky,17,22,39,-5,Kentucky,False,False
2002-09-02,2002,Cincinnati,TCU,36,29,65,7,Cincinnati,False,False
2002-09-02,2002,USC,Auburn,24,17,41,7,USC,False,False
2002-09-05,2002,Temple,Oregon State,3,35,38,-32,Oregon State,False,False
2002-09-06,2002,BYU,Hawaii,35,32,67,3,BYU,False,False
2002-09-07,2002,Connecticut,Georgia Tech,14,31,45,-17,Georgia Tech,False,False
2002-09-07,2002,Southern Miss,Illinois,23,20,43,3,Southern Miss,False,False
2002-09-07,2002,Pittsburgh,Texas A&M,12,14,26,-2,Texas A&M,False,False
2002-09-07,2002,Navy,NC State,19,65,84,-46,NC State,False,False
2002-09-07,2002,Miami (OH),Iowa,24,29,53,-5,Iowa,False,False
2002-09-07,2002,Wisconsin,West Virginia,34,17,51,17,Wisconsin,False,False
2002-09-07,2002,Michigan,Western Michigan,35,12,47,23,Michigan,False,False
2002-09-07,2002,Ohio State,Kent State,51,17,68,34,Ohio State,False,False
2002-09-07,2002,Ole Miss,Memphis,38,16,54,22,Ole Miss,False,False
2002-09-07,2002,Northwestern,TCU,24,48,72,-24,TCU,False,False
2002-09-07,2002,Central Michigan,Wyoming,32,20,52,12,Central Michigan,False,False
2002-09-07,2002,Notre Dame,Purdue,24,17,41,7,Notre Dame,False,False
2002-09-07,2002,Army,Holy Cross,21,30,51,-9,Holy Cross,False,False
2002-09-07,2002,Clemson,Louisiana Tech,33,13,46,20,Clemson,False,False
2002-09-07,2002,Michigan State,Rice,27,10,37,17,Michigan State,False,False
2002-09-07,2002,Kentucky,UTEP,77,17,94,60,Kentucky,False,False
2002-09-07,2002,Air Force,New Mexico,38,31,69,7,Air Force,False,False
2002-09-07,2002,Washington,San Jose State,34,10,44,24,Washington,False,False
2002-09-07,2002,Oregon,Fresno State,28,24,52,4,Oregon,False,False
2002-09-07,2002,Boston College,Stanford,34,27,61,7,Boston College,False,False
2002-09-07,2002,Oklahoma,Alabama,37,27,64,10,Oklahoma,False,False
2002-09-07,2002,Washington State,Idaho,49,14,63,35,Washington State,False,False
2002-09-07,2002,Auburn,Western Carolina,56,0,56,56,Auburn,False,False
2002-09-07,2002,Florida,Miami (FL),16,41,57,-25,Miami (FL),False,False
2002-09-07,2002,Maryland,Akron,44,14,58,30,Maryland,False,False
2002-09-07,2002,Eastern Michigan,Toledo,13,65,78,-52,Toledo,False,False
2002-09-07,2002,Wake Forest,East Carolina,27,22,49,5,Wake Forest,False,False
2002-09-07,2002,California,New Mexico State,34,13,47,21,California,False,False
2002-09-07,2002,Baylor,Samford,50,12,62,38,Baylor,False,False
2002-09-07,2002,Vanderbilt,Furman,49,18,67,31,Vanderbilt,False,False
2002-09-07,2002,Rutgers,Buffalo,11,34,45,-23,Buffalo,False,False
2002-09-07,2002,Duke,Louisville,3,40,43,-37,Louisville,False,False
2002-09-07,2002,Missouri,Ball State,41,6,47,35,Missouri,False,False
2002-09-07,2002,Iowa State,Tennessee Tech,58,6,64,52,Iowa State,False,False
2002-09-07,2002,USF,Northern Illinois,37,6,43,31,USF,False,False
2002-09-07,2002,UAB,Troy,27,26,53,1,UAB,False,False
2002-09-07,2002,Arkansas State,Tulsa,21,19,40,2,Arkansas State,False,False
2002-09-07,2002,Tennessee,Middle Tennessee,26,3,29,23,Tennessee,False,False
2002-09-07,2002,Nebraska,Utah State,44,13,57,31,Nebraska,False,False
2002-09-07,2002,Colorado,San Diego State,34,14,48,20,Colorado,False,False
2002-09-07,2002,Arkansas,Boise State,41,14,55,27,Arkansas,False,False
2002-09-07,2002,Oklahoma State,Northern Iowa,45,10,55,35,Oklahoma State,False,False
2002-09-07,2002,Kansas State,UL-Monroe,68,0,68,68,Kansas State,False,False
2002-09-07,2002,Virginia,South Carolina,34,21,55,13,Virginia,False,False
2002-09-07,2002,SMU,Texas Tech,14,24,38,-10,Texas Tech,False,False
2002-09-07,2002,UL-Lafayette,Minnesota,11,35,46,-24,Minnesota,False,False
2002-09-07,2002,Utah,Indiana,40,13,53,27,Utah,False,False
2002-09-07,2002,Ohio,Northeastern,0,31,31,-31,Northeastern,False,False
2002-09-07,2002,LSU,Citadel,35,10,45,25,LSU,False,False
2002-09-07,2002,Syracuse,North Carolina,22,30,52,-8,North Carolina,False,False
2002-09-07,2002,Houston,Tulane,13,34,47,-21,Tulane,False,False
2002-09-07,2002,North Texas,Nicholls State,23,0,23,23,North Texas,False,False
2002-09-07,2002,Arizona State,UCF,46,13,59,33,Arizona State,False,False
2002-09-07,2002,UNLV,Kansas,31,20,51,11,UNLV,False,False
2002-09-07,2002,UCLA,Colorado State,30,19,49,11,UCLA,False,False
2002-09-12,2002,Virginia Tech,Marshall,47,21,68,26,Virginia Tech,False,False
2002-09-14,2002,Illinois,Arkansas State,59,7,66,52,Illinois,False,False
2002-09-14,2002,Clemson,Georgia Tech,24,19,43,5,Clemson,False,False
